Non T2D 1	Non T2D 2	Non T2D 3	Non T2D 4	Non T2D 5	Non T2D 6
CEP57	4187	9601	5761	3245	1794	426
JRKL-AS1	0	0	0	0	0	0
TRPC6	0	159	99	7	2	0
PGR	1113	8002	5092	1433	3921	996
KIAA1377	3880	14016	6188	1170	3739	946
BIRC2	3832	11490	5868	2884	1374	527
DYNC2H1	1452	5983	2504	775	730	200
LOC102723895	0	0	0	0	0	0
GRIA4	195	664	858	364	78	13
GUCY1A2	177	388	416	164	55	51
ELMOD1	1	0	0	0	0	0
CWF19L2	2525	7703	3601	1337	970	385
ATM	2146	5994	4283	1153	870	234
C11orf65	177	269	82	58	30	17
DDX10	1193	4323	2126	1130	627	217
EXPH5	2261	7330	881	604	342	124
ZC3H12C	710	1599	291	269	230	93
ARHGAP20	64	178	34	38	20	0
DIXDC1	666	3387	1307	1130	490	89
SIK2	3233	5301	1003	1689	1416	572
BCO2	503	2065	657	102	128	61
PIH1D2	9	1015	552	200	133	18
ALG9	2290	7280	2874	1944	896	470
NCAM1	2525	9673	4900	2758	3721	1565
ZW10	1330	3661	1024	972	363	152
ZBTB16	0	79	0	1198	87	37
NXPE2	0	0	0	1	0	0
NXPE1	0	0	0	7	1	2
BACE1	3189	16830	9909	6218	5749	1957
PAFAH1B2	29961	42757	24897	6168	3182	1216
SIK3	831	4775	1584	2550	1082	521
ZPR1	2400	8151	4448	3035	1127	706
TMPRSS4	12	98	0	165	23	0
FXYD6-FXYD2	0	0	0	0	0	0
KMT2A	1867	18866	7021	6812	4020	1282
CCDC84	545	3691	1349	630	491	249
DDX6	1570	5527	2495	4496	1082	383
USP2-AS1	91	9	98	55	78	46
CBL	963	2393	751	1202	613	244
ARHGEF12	3006	10994	9412	4591	3758	1406
SORL1	7267	36122	15520	5661	5022	1837
TECTA	185	290	212	16	29	1
MIR100HG	983	2457	2883	341	235	58
ZNF202	868	1588	1247	761	296	99
CLMP	396	553	97	61	55	39
GRAMD1B	433	3165	1561	388	450	248
C11orf63	366	1251	556	322	152	120
VWA5A	23892	60339	12972	4978	4760	3813
MSANTD2	168	1181	762	282	186	53
SIAE	6776	16056	8573	4428	3242	1472
OR8G1	0	0	0	0	0	0
PKNOX2	0	39	88	247	45	68
FAM118B	2118	4051	4899	1295	481	324
KIRREL3	0	185	0	147	67	35
ST3GAL4-AS1	52	341	81	45	97	3
FLI1	81	184	135	1	6	157
KCNJ1	138	0	0	73	0	0
ETS1	524	1978	3270	353	310	427
NFRKB	722	3770	814	2188	643	313
ADAMTS8	23	2	7	6	5	0
ZBTB44	1701	4542	3950	1316	616	240
C11orf44	0	0	0	0	1	0
IGSF9B	0	129	62	157	29	1
JAM3	2729	8314	4543	1567	1359	788
NCAPD3	1136	3586	1304	1258	601	234
LOC283177	97	2279	1141	268	423	135
SCGB1C1	0	0	0	0	0	0
SIRT3	491	5062	1565	2007	1429	784
BET1L	4160	14833	1971	7978	3342	1180
LOC653486	0	0	0	0	0	0
PSMD13	8012	31133	11464	11299	4646	3396
ODF3	0	2	0	1	0	0
RIC8A	5023	14675	1956	6901	3282	1555
MIR6743	32	74	2	38	14	3
IFITM3	4959	43137	12008	41355	6868	12323
NLRP6	0	0	54	0	1	1
ATHL1	387	1222	149	1975	201	149
IFITM1	349	2854	8156	539	1312	985
IFITM2	857	18394	11289	10033	2261	5904
IFITM5	0	0	0	1	0	0
B4GALNT4	0	1002	53	88	294	43
RNH1	18921	57303	5881	22421	13519	8709
SIGIRR	1874	9740	704	6484	2928	1874
PKP3	1304	8491	319	7574	2921	1424
PTDSS2	432	1787	884	3857	1824	1163
ANO9	692	2776	55	1038	454	252
RASSF7	5174	19295	1463	7229	4913	2852
PHRF1	330	2634	192	3242	1058	474
SCT	0	43	12	5	84	16
LRRC56	10	50	34	63	211	145
DRD4	0	130	8	10	30	4
LMNTD2	0	25	0	729	391	36
HRAS	429	3150	1754	2690	2784	1311
CDHR5	127	988	71	851	690	76
MIR210HG	0	1182	423	315	462	356
IRF7	668	1891	178	1290	758	541
LOC143666	9	106	18	159	232	138
MIR210	0	0	0	2	1	15
PDDC1	586	3354	775	1515	1318	672
TMEM80	2682	16190	2714	3154	2991	1305
EPS8L2	5031	15622	1019	10360	4785	2529
TALDO1	11803	48718	11160	18584	8355	6644
NS3BP	11	515	0	347	198	45
CHID1	15852	89030	13403	17089	16598	5283
POLR2L	13621	85369	7542	27250	19799	11077
CD151	4966	19492	4279	65848	16309	9180
SLC25A22	2148	7604	204	6156	3264	1639
PIDD1	227	2509	80	1934	494	336
RPLP2	14790	61460	5800	91584	37135	19648
CEND1	0	297	75	43	2	79
PNPLA2	2033	11224	701	20931	5997	3728
TSPAN4	1183	4989	552	2391	1705	1536
EFCAB4A	1505	6426	372	4977	1332	1121
PANO	1	155	67	139	189	112
SNORA52	8	40	11	29	9	6
AP2A2	2158	4304	1090	2787	2478	1013
MUC6	21	501	189	808	255	29
MUC2	0	16	0	0	0	0
MUC5B	673	0	0	0	113	24
MIR6744	0	0	0	0	0	0
TOLLIP-AS1	130	1636	139	846	305	369
MOB2	412	3638	296	3546	1956	1404
DUSP8	628	3084	386	2099	1852	619
FAM99A	1	0	0	0	0	0
KRTAP5-AS1	0	139	101	290	78	49
KRTAP5-1	0	35	20	36	33	5
KRTAP5-4	0	0	0	0	0	2
KRTAP5-3	0	0	0	0	0	0
KRTAP5-2	0	0	0	1	0	0
KRTAP5-5	2	2	106	60	19	7
CTSD	68036	214475	7625	330891	75292	55536
IFITM10	219	1345	84	1561	464	329
FAM99B	0	0	0	0	0	0
KRTAP5-6	0	0	0	0	0	0
TNNT3	1	4	0	2	0	0
SYT8	280	1795	287	2620	215	868
LSP1	0	272	0	118	343	4
LINC01150	0	2	0	0	0	0
TNNI2	51	178	71	145	5	34
MIR4298	0	0	0	0	0	0
MRPL23	1890	8292	1663	15790	7428	4376
MIR675	0	0	0	0	0	0
H19	34	138	402	4783	7	977
HOTS	0	0	0	0	0	0
MRPL23-AS1	65	314	0	19	49	52
IGF2	11.5	82	1	64.75	24.5	30.75
TH	0	116	0	68	7	19
INS	675893	7393189	791088	2343212	1674400	441207
MIR4686	0	0	0	0	0	1
INS-IGF2	0	0	0	0	0	0
IGF2-AS	0	488	12	279	144	21
MIR483	0	0	0	0	0	0
ASCL2	0	671	111	281	798	206
TSPAN32	0	0	5	10	3	1
C11orf21	0	0	15	32	0	0
TSSC4	4427	13957	1894	4673	2541	1935
CD81	9899	60304	28759	15319	22078	10418
TRPM5	0	0	31	326	9	1
KCNQ1OT1	1968	24467	14513	4478	3418	672
SLC22A18	1142	4685	441	5162	1041	1411
KCNQ1DN	0	0	0	0	0	0
PHLDA2	469	2194	542	2492	160	311
SLC22A18AS	97	0	19	23	0	32
CDKN1C	5454	11009	8062	6508	3782	992
NAP1L4	12763	28210	5841	6841	5953	2339
SNORA54	0	16	0	31	26	17
CARS	8587	19432	7392	5708	4073	1747
MRGPRG	0	0	0	8	0	0
MRGPRG-AS1	0	0	0	0	0	0
MRGPRE	0	0	72	55	13	0
ZNF195	1400	6528	4429	2001	1232	428
OR7E12P	0	18	4	19	8	1
ART5	0	0	119	134	8	3
TRPC2	0	0	0	0	0	7
CHRNA10	0	183	0	44	22	4
PGAP2	1765	4182	1466	3344	978	686
RHOG	1773	5752	1575	5952	2794	1934
MIR4687	0	0	0	0	0	0
RRM1	4706	16360	10690	2881	1777	698
LOC100506082	0	0	0	12	3	0
TRIM21	1018	5526	3418	1405	363	419
OR52B4	0	0	0	0	0	0
OR52K2	0	0	0	0	0	0
OR52K1	0	0	0	24	0	0
OR52M1	0	0	0	0	0	0
TRIM68	976	2133	1065	813	581	284
C11orf40	0	0	0	0	0	0
OR51E1	0	0	0	0	0	0
OR51D1	0	0	0	0	0	0
OR52I1	0	0	0	0	0	0
OR52I2	0	0	0	0	0	0
OR52R1	0	33	0	0	25	0
OR51F2	0	0	0	0	0	0
OR51F1	0	0	0	0	11	0
OR51A2	0	0	0	0	0	0
OR51A4	0	0	1	0	0	0
OR51G2	0	0	0	0	14	1
OR51G1	0	70	9	0	0	0
OR51T1	0	0	0	0	0	0
OR51S1	0	0	0	0	2	0
OR51A7	0	205	0	0	0	0
MMP26	0	103	13	0	118	1
OR52E2	0	0	0	0	0	0
OR51L1	0	26	0	0	0	0
OR52J3	0	0	0	0	0	0
OR52A1	0	0	0	0	0	0
OR52A5	0	0	0	0	0	0
OR51V1	0	0	1	0	0	0
HBG1	0	0	0	0	0	0
HBB	1	0	0	2	0	0
HBD	0	0	0	1	0	0
HBG2	0	0	0	0	0	0
HBE1	0	0	0	0	0	0
OR51B4	0	0	0	0	0	0
OR51B2	0	0	0	0	0	0
HBBP1	0	0	0	0	0	0
OR51B6	0	0	0	0	0	0
BGLT3	0	0	0	0	0	0
OR51Q1	0	0	0	0	2	0
OR51M1	0	0	0	0	0	0
OR51I2	0	0	0	0	0	0
OR51I1	0	0	0	0	0	0
TRIM6	0	192	179	77	8	10
UBQLNL	91	0	0	3	0	14
UBQLN3	0	0	0	20	0	0
OR52H1	0	0	0	5	0	0
OR52D1	0	0	0	0	0	0
OR52B6	0	0	0	0	0	0
TRIM22	1032	670	2166	2333	272	500
TRIM34	0	7.33333333333333	1.66666666666667	2.33333333333333	3	1.66666666666667
TRIM5	769	2211	1532	3109	161	286
OR56B1	0	0	1	0	0	0
OR52N4	0	0	0	2	0	5
OR52N2	0	0	0	3	14	0
OR52E8	0	41	0	0	0	0
OR52E6	0	0	0	0	0	0
OR52N5	0	0	0	0	0	0
OR52N1	0	3	0	0	0	0
OR56A5	0	0	0	0	0	0
OR56A4	0	0	0	0	0	0
OR52E4	0	0	0	0	0	0
OR56A3	0	0	0	0	0	0
OR52L1	0	0	0	0	0	0
OR56A1	0	0	0	0	0	0
OR56B4	0	0	0	1	0	0
FAM160A2	581	1966	1227	1328	2082	989
C11orf42	0	0	0	2	0	0
CNGA4	0	0	0	0	0	4
OR52W1	0	0	0	0	0	0
OR52B2	0	6	0	1	0	0
SMPD1	6058	16971	4233	4772	5629	3354
PRKCDBP	1418	1787	1708	983	930	619
HPX	2	1328	63	425	53	37
TIMM10B	8947	21930	9635	4996	2918	1044
ARFIP2	5031	31614	5169	12370	5743	3855
TRIM3	1714	3318	714	1151	1110	500
DCHS1	154	1428	317	369	388	614
ILK	8764	30946	9149	11819	6213	3264
RRP8	836	4987	1130	1426	867	390
TAF10	584	3423	922	14962	8684	4598
TPP1	37657	73984	25643	27792	14671	7404
GVINP1	5	9	0	39	10	12
MRPL17	2983	12725	7131	6014	3594	1994
OR2AG1	0	0	0	0	0	0
OR2AG2	0	11	0	1	0	0
OR10A5	0	0	0	5	0	0
OR6A2	0	0	0	4	0	0
OR2D2	0	0	0	1	0	0
OR10A4	0	0	0	0	0	0
OR2D3	0	0	0	4	0	0
OR10A2	0	0	0	2	0	1
ZNF214	336	637	287	158	74	30
ZNF215	0	508	4	122	0	4
RBMXL2	0	0	31	0	0	0
OLFML1	0	140	613	59	89	8
OVCH2	0	16	0	2	0	0
CYB5R2	67	320	30	716	18	26
OR5P2	0	174	0	0	0	0
OR5P3	0	0	0	0	0	0
NLRP10	0	0	0	1	0	0
OR5E1P	0	0	0	0	0	0
LOC283299	0	3	0	0	1	2
OR10A6	0	0	0	1	0	0
OR10A3	0	0	0	0	0	0
EIF3F	2848	9913	3720	6591	3286	1770
LOC101927917	0	0	0	0	0	0
RIC3	1667	9144	3004	1764	1511	577
RPL27A	10340	43598	9059	28685	12330	6190
SNORA45B	6	83	7	54	22	29
SNORA45A	5	68	0	42	4	7
LOC102724784	113	308	103	92	22	12
NRIP3	108	245	61	21	42	61
AKIP1	2421	11107	4340	2395	1617	994
TMEM9B	10786	24940	13052	7862	2655	1625
C11orf16	2	0	0	105	8	4
ASCL3	0	0	0	0	0	0
TMEM9B-AS1	149	320	117	112	73	14
KRT8P41	5	32	5	29	8	9
MIR5691	0	0	0	0	0	0
ZNF143	1991	5766	4434	1337	536	210
SNORA23	0	17	14	59	9	9
LOC644656	503	742	284	353	202	25
WEE1	1652	1019	1971	872	497	220
LOC440028	0	2	0	40	18	4
LOC101928008	0	13	12	9	0	1
ADM	3423	9364	1320	2056	615	2672
LYVE1	0	0	0	10	8	334
MTRNR2L8	57	132	265	201	183	58
MIR4485	0	0	0	0	0	0
RNF141	1830	10124	3234	3752	946	349
EIF4G2	49539	113283	57826	33993	15688	6988
LOC101928053	9	453	113	62	39	9
CTR9	5007	11125	6869	2822	1747	608
SNORD97	0	0	0	1	2	0
ZBED5-AS1	3882	6423	4148	1522	1496	456
CSNK2A3	630	1926	559	690	219	109
MIR4299	0	0	0	0	0	0
MIR8070	0	0	0	3	0	0
DKK3	802	1396	4803	189	874	747
MIR6124	0	0	0	1	1	0
RASSF10	0	128	0	15	1	0
LINC00958	9	3	0	0	0	0
BTBD10	1914	7740	7457	1692	933	562
PTH	0	0	0	0	0	0
FAR1	3987	12573	8801	2625	1069	386
RRAS2	601	1372	476	1296	384	274
COPB1	12996	42251	27896	9645	4753	2234
CYP2R1	926	1427	1140	942	280	151
CALCA	218	311	0	4	33	101
CALCB	398	4644	321	60	220	98
LOC102724957	0	0	0	0	0	0
MIR6073	0	0	0	0	0	0
RPS13	10460	38359	8715	31974	13963	6599
OR7E14P	199	65	182	440	157	133
KCNJ11	2535	6941	1234	1801	2191	978
NCR3LG1	631	1198	840	1005	295	208
OTOG	0	199	0	13	2	26
KCNC1	112	2315	222	403	596	380
MYOD1	0	0	0	0	0	0
TPH1	0	2	203	15	4	7
MRGPRX4	0	0	0	0	0	0
MRGPRX3	0	0	0	0	0	0
SAAL1	1320	2898	2153	953	500	224
SAA3P	0	19	0	1	1	1
HPS5	1796	3349	1610	957	573	137
SAA1	0	2095	0	34	65	15
SAA2	0	752.5	0.5	46	51.5	17
LOC494141	1	5	1	6	1	0
SAA2-SAA4	0	0	0	0	0	0
SAA4	0	0	0	0	0	0
LDHA	7659	52589	14331	18817	4332	3000
LDHC	0	774	0	65	2	3
TSG101	10122	34838	21772	10283	4996	2391
UEVLD	725	3437	1250	1419	385	163
TMEM86A	1018	2657	155	2949	656	532
SPTY2D1-AS1	257	514	89	91	65	54
SPTY2D1	1036	2999	969	1737	947	322
PTPN5	0	2	0	1	7	0
MRGPRX1	0	0	0	0	0	0
MRGPRX2	0	0	1	0	0	0
E2F8	0	0	1	39	12	1
ZDHHC13	3498	10366	6906	2616	902	406
CSRP3	15	97	0	2	0	1
NAV2-AS5	0	0	1	1	0	0
MIR4486	0	0	0	0	0	0
NAV2-AS4	0	0	0	0	0	0
MIR4694	0	0	0	1	0	0
LOC100126784	10	629	7	95	309	66
NAV2-AS2	1	9	6	6	1	0
DBX1	0	0	0	0	0	0
HTATIP2	13252	29616	7593	12041	4319	2375
SLC6A5	0	0	0	0	0	0
SLC17A6	361	3542	618	158	350	83
LOC102723378	0	0	0	0	0	0
FANCF	887	10275	2456	3215	1195	525
SVIP	7063	22958	9245	6745	4393	1599
CCDC179	0	35	58	1	0	0
MIR8054	0	0	0	0	0	0
MUC15	12	0	309	1337	23	21
FIBIN	0	216	1044	147	200	23
CCDC34	532	1384	447	839	516	160
MIR8087	0	33	32	0	2	0
LINC00678	0	6	2	0	2	4
BDNF	51	75	299	44	16	3
MIR610	0	0	0	0	0	0
MIR8068	0	0	0	0	0	0
KCNA4	0	0	0	0	2	0
FSHB	0	0	0	0	0	0
ARL14EP	1876	6296	4205	1628	1051	426
DNAJC24	1285	4003	1558	685	667	156
PAX6	23903	82255	50550	10450	21006	4409
LOC100506675	216	396	29	103	32	5
WT1	0	1	0	0	0	0
WT1-AS	0	1	0	0	0	0
EIF3M	7761	18105	15795	8934	3129	1830
PRRG4	309	3062	844	1902	374	89
QSER1	615	2521	2848	1365	503	173
TCP11L1	768	2628	657	594	290	136
DEPDC7	0	58	104	101	2	0
LINC00294	163	1012	466	270	107	55
CSTF3-AS1	7	8	3	6	23	0
C11orf91	9	165	125	151	20	32
CD59	51818	271751	106068	83430	53275	31571
LOC101928440	0	0	0	1	5	0
FBXO3	5066	15083	15736	3222	1249	553
LMO2	243	1527	574	913	645	499
NAT10	965	8072	1096	1377	1011	470
ELF5	0	0	0	0	0	0
EHF	2740	20708	11924	5921	1901	1234
MIR1343	0	8	0	1	0	0
APIP	1416	5091	3564	1385	783	326
CD44	13224	111838	20991	68373	14233	5512
LOC100507144	0	226	1	38	72	0
FJX1	1	679	104	670	291	271
MIR3973	0	0	0	0	0	0
TRAF6	3775	6843	5625	1253	866	520
C11orf74	888	3757	1345	959	597	281
RAG1	25	51	147	80	2	0
RAG2	1	35	0	1	5	10
LOC101928536	0	0	0	0	0	0
LOC100507205	0	34	0	0	0	5
API5	6150	13381	10118	2896	1600	628
HNRNPKP3	16	17	12	22	8	4
MIR670	0	0	0	2	0	0
MIR129-2	0	0	0	1	0	0
C11orf96	611	487	84	251	563	1232
SEC14L1P1	50	782	277	260	159	92
ALKBH3-AS1	0	217	0	10	7	3
ACCS	1275	2005	790	900	738	273
ACCSL	0	0	0	9	0	0
CD82	7566	47557	5162	10277	7971	3484
LOC221122	0	0	0	0	0	0
SYT13	2853	11722	7217	9525	6623	2512
LOC101928812	350	689	86	27	60	55
LOC399886	1	0	0	0	0	0
CHST1	0	222	1	4	3	11
MIR7154	0	0	0	0	0	0
SLC35C1	1401	6532	424	4387	1851	1426
DKFZp779M0652	411	468	83	125	108	12
MAPK8IP1	345	2673	240	2651	2368	1162
PEX16	4182	9551	1587	3933	2239	1494
C11orf94	0	56	31	0	0	0
GYLTL1B	670	4034	165	2465	2102	955
LOC101928894	0	0	0	0	0	0
CREB3L1	1119	2021	295	12915	1258	1111
MIR4688	0	2	0	0	2	0
CHRM4	0	402	0	8	52	12
MIR3160-2	0	0	0	0	0	0
MIR3160-1	0	0	0	0	0	0
MDK	9424	59433	10797	14278	17419	5892
HARBI1	1179	2662	1265	657	323	137
F2	0	576	0	2	11	25
ZNF408	1386	4483	126	1321	817	508
ARHGAP1	15819	38351	8053	9087	12189	6952
SNORD67	0	2	7	6	4	0
MIR5582	0	0	0	0	0	0
LRP4-AS1	15	73	0	13	18	8
ACP2	5595	10072	1161	6261	3125	2518
NR1H3	675	2541	193	1089	543	262
LOC101928943	0	0	0	2	1	0
PACSIN3	692	1931	488	2209	510	326
DDB2	2156	5651	1942	1963	871	402
MIR6745	0	0	0	0	0	0
SLC39A13	6437	17381	1614	6614	4664	2288
PSMC3	14427	43229	17447	9524	4671	4001
SPI1	0	122	0	14	322	6
MYBPC3	0	1	0	421	0	0
RAPSN	0	0	2	67	13	1
CELF1	5841	19782	5798	7169	4419	1444
PTPMT1	5012	17005	6075	8099	3196	2275
NDUFS3	9126	23631	9498	11595	5389	3006
FAM180B	0	0	1	0	0	0
KBTBD4	975	4684	1125	1392	523	447
MTCH2	13953	35691	21276	10663	5672	2769
C1QTNF4	497	2978	404	840	1758	325
FNBP4	2835	10169	3548	7396	2754	1334
OR4B1	0	0	0	0	0	0
OR4X2	0	0	0	0	0	0
OR4X1	0	0	0	0	0	0
OR4S1	0	0	0	0	0	0
OR4C3	0	0	0	1	0	0
OR4C45	0	0	0	0	0	0
OR4A47	0	0	0	0	0	0
TRIM49B	0	0	0	0	0	0
TRIM64C	0	0	0	0	0	0
FOLH1	0	0	64	31	0	67
OR4C12	0	0	0	0	0	0
OR4C13	0	0	1	0	0	0
LOC441601	0	3	1	0	0	19
LOC646813	0	0	1	1	0	0
OR4A5	0	0	0	0	0	0
OR4C46	0	0	0	0	0	0
TRIM48	0	0	0	0	0	0
TRIM51HP	0	0	0	0	0	0
OR4A15	0	0	0	0	0	0
OR4A16	0	0	0	0	0	0
OR4C6	0	0	0	0	0	0
OR4C16	0	0	0	0	0	0
OR4C11	0	0	0	0	0	0
OR4P4	0	0	0	0	0	0
OR4S2	0	0	0	0	0	0
OR4C15	0	0	0	0	0	0
OR5D14	0	0	0	0	0	0
OR5D13	0	0	1	0	0	0
OR5D16	0	0	0	1	0	0
TRIM51	0	0	0	0	0	0
OR5I1	0	0	0	0	0	0
OR5L2	0	0	0	0	0	0
OR5L1	0	0	0	0	0	0
OR5W2	0	0	3	0	0	0
OR5D18	0	0	0	2	0	0
OR10AG1	0	0	1	0	0	0
OR5F1	0	0	0	0	0	0
OR7E5P	0	2	0	0	0	0
OR5AS1	0	0	0	0	0	0
OR5J2	0	0	0	0	0	0
OR8H3	0	0	0	0	0	0
OR8H2	0	0	0	0	0	0
OR8J3	0	0	0	0	0	0
OR8K5	0	0	0	0	0	0
OR8I2	0	0	0	0	0	0
OR8H1	0	0	0	0	0	0
OR8K3	0	0	0	0	0	0
OR5T3	0	0	0	0	0	0
OR5T2	0	0	0	0	0	0
OR5T1	0	0	0	0	0	0
OR8U8	0	0	0	0	0	0
OR8J1	0	0	0	0	0	0
OR8U1	0	0	0	0	0	0
OR5R1	0	0	0	0	0	0
OR8K1	0	0	0	0	0	0
OR5M8	0	1	0	0	0	0
OR5M11	0	0	0	0	0	0
OR5M9	0	0	0	0	0	0
OR5M3	0	1	0	0	0	0
OR5M10	0	0	0	0	0	0
OR9G1+OR9G9	0	0	0	0	0	0
OR5M1	0	0	0	1	0	0
OR5AR1	0	0	0	0	0	0
OR5AP2	0	0	0	0	0	0
MIR6128	0	0	0	0	0	0
OR9G4	0	0	0	0	0	0
OR5AK4P	0	0	0	0	0	0
OR5AK2	0	0	0	0	0	0
APLNR	1	0	0	0	0	0
LRRC55	0	0	0	13	0	2
P2RX3	0	0	0	0	0	0
TNKS1BP1	959	3986	782	3113	752	977
SSRP1	1826	6393	6238	5003	3103	1110
SLC43A3	646	7138	1620	2682	507	1222
PRG2	18	91	0	37	2	35
RTN4RL2	0	354	79	1649	562	721
UBE2L6	5459	24378	9690	8424	4406	2267
MIR130A	0	0	0	2	0	0
SERPING1	5782	78356	15999	41374	10024	9844
TIMM10	2734	14228	5244	5534	2296	1338
SMTNL1	0	15	0	28	0	0
CLP1	403	3366	2488	1371	476	463
ZDHHC5	2427	7279	1306	2341	1176	433
C11orf31	9616	36401	10208	16373	11145	5969
MED19	2379	8180	2512	3586	1616	1060
YPEL4	0	0	0	14	0	0
BTBD18	23	2	0	25	21	0
TMX2	4834	11902	7231	5173	1748	967
OR6Q1	0	0	0	1	0	0
OR9I1	0	0	0	0	0	0
OR10W1	0	0	0	1	0	0
OR9Q2	0	0	0	0	0	0
OR10Q1	0	0	0	0	0	0
OR1S2	0	0	0	0	0	0
OR1S1	0	0	0	0	0	0
OR5B2	0	0	0	0	0	0
OR5B17	0	0	0	1	0	0
OR5B3	0	0	0	0	0	0
OR5B21	0	0	0	0	0	0
OR5B12	0	0	0	0	0	0
CNTF	0	0	0	1	1	0
ZFP91	2185	4592	3272	2475	969	386
ZFP91-CNTF	0	0	0	0	0	0
GLYAT	0	0	0	0	0	0
GLYATL2	0	78	0	126	0	0
FAM111B	0	216	0	208	31	12
FAM111A	795	1798	645	903	370	223
MPEG1	0	0	0	24	222	0
DTX4	416	467	424	1347	203	372
LOC101927204	618	416	204	339	106	25
OR4D6	0	0	0	0	0	0
OR5AN1	0	0	0	0	0	0
OR5A1	0	0	0	0	0	0
OR5A2	0	0	0	0	0	0
MIR3162	0	6	0	0	0	0
OR4D9	0	0	0	0	0	0
OR4D11	0	0	0	0	0	0
OR4D10	0	0	0	0	0	0
PATL1	990	1438	857	1882	835	376
OR10V1	0	0	0	1	0	0
TCN1	164	32766	29276	4386	295	468
MRPL16	4545	10999	6933	5267	1670	1021
GIF	22	1	0	504	7	0
OR10V2P	0	0	0	0	0	0
STX3	4783	16894	10892	7342	3266	1780
MS4A2	0	678	0	0	0	1
OOSP2	0	0	0	14	0	0
MS4A3	0	0	0	0	0	0
MS4A6A	0	0	0	0	337	0
MS4A6E	0	0	0	0	0	0
MS4A4A	839	0	0	0	15	3
MIR6503	0	0	0	0	0	0
MS4A14	0	0	0	0	0	0
MS4A1	0	0	0	0	0	0
MS4A5	0	0	0	0	0	0
MS4A12	0	0	0	0	0	0
MS4A15	0	0	0	0	3	0
MS4A8	1175	6125	4765	1643	1587	864
PRPF19	975	658	1007	1412	2467	1525
CCDC86	3009	22174	2370	5640	5955	2515
ZP1	283	1187	607	11	151	126
PTGDR2	268	4201	668	250	751	302
SLC15A3	143	85	20	73	59	43
TMEM132A	409	2143	139	3710	1762	1301
CD6	456	52	0	298	1	3
VPS37C	605	2050	773	3089	1478	696
CD5	0	695	280	865	121	16
PGA4	0	0	0	0	0	0
VWCE	0	0	140	71	1	13
PGA5	0	0	0	1	0	0
PGA3	0	0	0	2	0	0
DAK	2010	10724	797	4588	2065	1058
CPSF7	1653	4508	1536	3232	1582	827
CYB561A3	2782	8135	1006	5116	1781	1331
TMEM216	1404	9207	2317	2084	1541	667
TMEM138	4332	7488	5750	2511	1804	1123
LRRC10B	329	2215	381	509	897	281
PPP1R32	214	762	203	149	249	71
MIR4488	0	0	0	0	0	0
RPLP0P2	276	2010	327	640	438	657
LOC101927495	0	392	103	52	38	112
MIR1908	0	0	0	4	1	0
MYRF	3039	8653	2311	10564	2407	1375
FEN1	1537	2830	1741	1962	564	294
FADS1	8515	20892	8742	5349	4524	1264
TMEM258	19537	69206	25713	19946	15313	7118
MIR611	218	778	190	250	199	104
DKFZP434K028	26	59	20	19	10	4
RAB3IL1	232	325	57	528	302	148
BEST1	609	60	256	132	31	46
FADS3	1510	1730	117	2748	1023	752
MIR6746	0	0	0	5	1	0
SCGB1D1	0	0	0	0	0	0
SCGB2A1	20871	48806	20173	5945	9711	1782
INCENP	29	79	7	395	386	217
SCGB1D2	31	132	219	54	12	6
SCGB2A2	0	1	0	0	0	0
SCGB1D4	0	0	0	0	0	0
SCGB1A1	0	41	0	0	0	0
B3GAT3	1636	11586	1108	5115	5124	2608
MTA2	3446	4395	1006	2818	1486	1041
TUT1	1994	9371	765	2038	1573	701
EEF1G	12272	37823	9769	21355	9858	5285
MIR3654	0	0	0	0	0	0
ROM1	351	388	145	395	293	149
EML3	327	1737	484	1501	1031	602
MIR6747	0	0	1	0	0	0
C11orf83	2105	8200	1463	3653	2042	1131
LOC102288414	517	1352	435	350	191	107
BSCL2	189	993.666666666667	100.666666666667	324.333333333333	291	122.333333333333
GANAB	6309	23988	3408	19582	7865	4877
HNRNPUL2-BSCL2	0	0	0	0	0	0
INTS5	668	7584	593	2809	1453	843
UBXN1	6810	24468	4661	11227	6885	3730
C11orf48	10	414	113	219	72	46
HNRNPUL2	441	1496	1173	605	615	297
GNG3	17	74	9	21	22	18
TTC9C	2217	5187	3356	1411	1095	320
SNORA57	94	254	10	134	64	41
METTL12	475	1190	390	691	218	246
LRRN4CL	1	0	1	0	60	0
NXF1	2237	16861	3195	6253	2181	1247
POLR2G	5299	29534	16428	6245	4978	2919
SNORD27	1	15	0	38	14	6
SNORD28	0	12	0	11	2	1
SNORD30	0	0	0	5	2	0
SNORD31	0	26	4	28	14	4
SNORD29	0	10	0	12	4	4
TMEM179B	10152	37478	13317	14868	6775	4021
TAF6L	561	1330	260	2214	1404	556
WDR74	2394	7420	2617	4374	1353	916
SNORD25	0	19	0	13	2	3
SNORD26	3	23	12	50	7	2
STX5	1217	1981	783	2951	1876	1078
SNORD22	0	10	18	34	12	2
TMEM223	1573	6435	1646	3392	1473	1012
SNHG1	466	1580	1064	1812	684	273
MIR6514	0	1	0	4	2	0
MIR6748	12	93	83	70	23	9
SLC22A8	0	0	1	0	0	0
SLC22A6	0	0	0	0	0	0
CHRM1	0	0	30	0	0	0
SLC22A24	0	0	1	0	0	0
SLC22A25	0	0	0	0	0	0
SLC22A10	0	0	0	4	0	0
LGALS12	0	311	0	0	0	0
HRASLS5	0	161	0	283	3	0
